图标,名称,来源版本,主题,图鉴编号,原始稀有度,原始价值,官方效果,官方描述,解锁条件,游戏稀有度（可编辑）,游戏价值（可编辑）,游戏效果（可编辑）,启用（可编辑）,备注（可编辑）,内部ID,图标URL
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_120.png,古老壁画,IS7,沉沦者的黑流树海,096,RARE,,敌人进入和解除浮空、失重状态时，受到1000点法术伤害，并在10秒内失去特殊能力,走出洞窟，抬头看看吧，自古以来，也不尽然。,通关结局7次,,,,是,,rogue_6_relic_legacy_120,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_096.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_121.png,万星园之辉,IS7,沉沦者的黑流树海,097,SUPER_RARE,,敌人进入和解除浮空、失重状态时，受到2000点法术伤害，并在10秒内受到的伤害+30%,在那一瞬，真实之光普照大地。,通关结局7次,,,,是,,rogue_6_relic_legacy_121,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_097.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_122.png,Scout的狙击镜,IS7,沉沦者的黑流树海,098,SUPER_RARE,,所有敌方单位受到我方单位伤害时，距离伤害来源越远受到的伤害越高（最高100%）,锁定目标、维持精度、扣下扳机、摧毁敌人抵抗的意志，这一切都是为了那个更远大的未来。Scout已经没有机会看到了，或许你可以帮忙见证。,携带不小于3名狙击干员完成一场战斗,,,,是,,rogue_6_relic_legacy_122,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_098.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_123.png,Blaze的电锯,IS7,沉沦者的黑流树海,099,SUPER_RARE,,所有敌方单位受到我方单位伤害时，距离伤害来源越近受到的伤害越高（最高100%）,她将自己与敌人一同拖入地狱，用炽热来鉴定彼此的决心。她从未失败。,携带不小于3名近卫干员完成一场战斗,,,,是,,rogue_6_relic_legacy_123,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_099.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_124.png,黑色郁金香,IS7,沉沦者的黑流树海,100,SUPER_RARE,,所有我方干员技能未开启时60秒内攻击力逐渐提升至最高+60%，每次技能结束时失去该加成,沉默压垮了伊比利亚人，所以她要发声，如果言语不够锐利，那就以剑代言。,,,,,是,,rogue_6_relic_legacy_124,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_100.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_126.png,《光耀卡西米尔》,IS7,沉沦者的黑流树海,101,RARE,,干员触发闪避后15秒内攻击速度+70,卡西米尔畅销书，以小说笔调讲述了自有骑士竞技以来那些闪耀竞技场的骑士事迹。惨遭放逐但重夺桂冠的临光占据了相当大的篇幅。,在多局游戏中累计胜利40场战斗,,,,是,,rogue_6_relic_legacy_126,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_101.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_127.png,《归来》,IS7,沉沦者的黑流树海,102,SUPER_RARE,,干员触发闪避后15秒内攻击力+130%,卡西米尔畅销书，据说是粉丝的集体创作，“临光”已然成为糅杂了诸多幻想的形象复合体。“放逐，并非逃避。她归来，独自抵挡时代的洪流。”,在多局游戏中累计胜利60场战斗,,,,是,,rogue_6_relic_legacy_127,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_102.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_128.png,设计师量尺,IS7,沉沦者的黑流树海,103,NORMAL,,所有我方单位获得15%物理闪避,在数据、经验以及精确测量下，身着铠甲的人多了几分幸运。,,,,,是,,rogue_6_relic_legacy_128,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_103.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_129.png,“法术杀手”,IS7,沉沦者的黑流树海,104,NORMAL,,所有我方单位获得15%法术闪避,由于莱塔尼亚人的源石技艺与音乐息息相关，有人竟想出了用噪音对抗法术的蠢主意。,,,,,是,,rogue_6_relic_legacy_129,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_104.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_130.png,舞者手链,IS7,沉沦者的黑流树海,105,NORMAL,,所有我方单位获得10%物理与法术闪避,训练有素的舞者在舞台上翩翩起舞躲过陷阱，观众们鼓掌喝彩，全然不知有人刚刚与死亡擦肩而过。,,,,,是,,rogue_6_relic_legacy_130,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_105.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_131.png,岩角号,IS7,沉沦者的黑流树海,106,RARE,,所有干员周围4格每有一名干员，攻击力+20%,想要在萨米召集人手，吹号绝对是最为有效的措施。,,,,,是,,rogue_6_relic_legacy_131,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_106.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_134.png,散轶诗简,IS7,沉沦者的黑流树海,107,RARE,,【召唤物】的部署费用-5、生命值+30%、攻击力+30%，并且不再消耗部署位,“酣然失千山，万物得其灵。”,,,,,是,,rogue_6_relic_legacy_134,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_107.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_137.png,传芳雕版,IS7,沉沦者的黑流树海,108,SUPER_RARE,,干员开启弹药类技能后，每次造成伤害时，攻击力+2%（最多叠加30层）,流行诗集的枣木雕版。见到自己眼中欠佳的俗诗雕版广为流传时，清高文人往往嗤之以鼻：“哼，可悲枣树，罪不至此。”,通关结局9次,,,,是,,rogue_6_relic_legacy_137,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_108.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_138.png,三尺万象,IS7,沉沦者的黑流树海,109,RARE,,干员开启弹药类技能时，攻击速度+100，持续15秒,古时炎国印书坊所用活字印刷机。君子以字为利器，而小人......曾有印书坊下印前，发现“非”字被偷，驳斥之文意思骤变，令人啼笑皆非。,通关结局9次,,,,是,,rogue_6_relic_legacy_138,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_109.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_139.png,《炎国字汇》,IS7,沉沦者的黑流树海,110,RARE,,弹药类技能每次开启后，首次剩余30%的弹药时，补充最大弹药数量30%的弹药,炎国的第一本通用字典，由民间作者历经十年完成。编者常叹书薄而字多，为无法收录、注定失传的生僻字立有一方字冢。,通关结局9次,,,,是,,rogue_6_relic_legacy_139,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_110.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_140.png,《雅集》,IS7,沉沦者的黑流树海,111,SUPER_RARE,,弹药类技能每次开启后，首次剩余30%的弹药时，补充最大弹药数量50%的弹药,炎国的第一部诗集，收录了当年传唱最广的诗篇。因其广受欢迎，促使民间抄诗与写诗的热情剧增，一度导致当年的纸墨供不应求。,通关结局9次,,,,是,,rogue_6_relic_legacy_140,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_111.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_142.png,“剑锤”,IS7,沉沦者的黑流树海,112,RARE,,所有干员的部署费用+3，但攻击力、防御力和生命+50%,插在巨大石头上的剑，到底是谁这么无聊啊。,,,,,是,,rogue_6_relic_legacy_142,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_112.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_1.png,红日冠冕,IS7,沉沦者的黑流树海,113,SUPER_RARE,,高台干员对每个敌人首次造成的伤害提升至300%,祂将自己所喜爱的冠冕赠与祂的黎博利孩子。黎博利接受了冠冕，也接受了白昼。于是黎博利翱翔于山巅之上，从此大地没有了黑夜。,,,,,是,,rogue_6_relic_fight_1,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_113.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_2.png,黑夜披肩,IS7,沉沦者的黑流树海,114,SUPER_RARE,,地面干员对每个敌人首次造成的伤害提升至300%,祂将自己所喜爱的披肩赠与祂的斐迪亚孩子。斐迪亚接受了披肩，没有得到白昼。于是斐迪亚偷走了黎博利的冠冕，从此大地又有了黑夜。,,,,,是,,rogue_6_relic_fight_2,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_114.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_3.png,伪翅,IS7,沉沦者的黑流树海,115,RARE,,我方干员击倒敌人时，获得3秒迷彩,“那棵树还剩最后一片叶子，我们能挺过这个冬天......”,通关结局1次,,,,是,,rogue_6_relic_fight_3,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_115.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_4.png,“撕咬的渴望”,IS7,沉沦者的黑流树海,116,RARE,,我方干员击倒敌人时，攻击速度+100，持续2秒,鲜血只会让它们更加亢奋。它们在哪里？无处不在。,通关结局1次,,,,是,,rogue_6_relic_fight_4,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_116.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_5.png,异香角,IS7,沉沦者的黑流树海,117,RARE,,我方干员击倒敌人时，获得2点技力,一截断角，散发着令人兴奋的味道，似乎是树海中两头雄性生物打架时掉下的，争斗永远使人成瘾。,通关结局1次,,,,是,,rogue_6_relic_fight_5,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_117.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_6.png,渴血钳兽,IS7,沉沦者的黑流树海,118,RARE,,我方干员击倒敌人时，回复10%最大生命,观赏钳兽争斗很有趣，前提是它们钳住的不是你的手指。,通关结局1次,,,,是,,rogue_6_relic_fight_6,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_118.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_7.png,“庇护”,IS7,沉沦者的黑流树海,119,RARE,,高台干员部署时立刻获得最大生命100%的屏障,他们的汗水如树海的雨水般落下，但好在他们有遮挡雨水的叶子来遮挡烈日。,,,,,是,,rogue_6_relic_fight_7,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_119.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_8.png,种植者保单,IS7,沉沦者的黑流树海,120,RARE,,若我方干员在5秒内未受到伤害，则获得最大生命20%的屏障,一份印得密密麻麻的保单，但条款只在被保人没出意外时有效——好在他们也看不懂上面的内容。,,,,,是,,rogue_6_relic_fight_8,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_120.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_9.png,战术背心,IS7,沉沦者的黑流树海,121,SUPER_RARE,,我方干员拥有屏障时，造成的伤害提升至140%,“我觉得口袋最好再多一些，得找个地方把我老妈的照片塞进去。”,在多局游戏中累计击败领袖【汉科】2次,,,,是,,rogue_6_relic_fight_9,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_121.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_10.png,赐福新生,IS7,沉沦者的黑流树海,122,SUPER_RARE,,首个干员部署时获得最大生命300%的屏障，且拥有屏障时攻击额外造成攻击力50%的法术伤害,赠予新生儿的特色礼物，最初由莱塔尼亚军官从玻利瓦尔归乡时带回，后经历了本土化，没有人会拒绝对新生命的祝福。,？？？,,,,是,,rogue_6_relic_fight_10,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_122.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_11.png,他缚,IS7,沉沦者的黑流树海,123,SUPER_RARE,,所有干员部署费用-50%，部署后损失70%的当前生命（退场前仅生效一次）,你从泥土中挖出了它，它却在为这片土地复仇。,,,,,是,,rogue_6_relic_fight_11,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_123.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_12.png,染血辞典,IS7,沉沦者的黑流树海,124,RARE,,所有干员生命值低于10%时，仅一次立刻获得最大生命100%的屏障,它曾为一名正在学习书写的真正玻利瓦尔游击队员挡下致命一击，遗憾的是它的拥有者没能撑太久，也没能认识更多词。,通关结局2次,,,,是,,rogue_6_relic_fight_12,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_124.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_13.png,液体化肥,IS7,沉沦者的黑流树海,125,RARE,,我方干员攻击时流失50点生命（至少保留1点），获得100屏障（此效果获得的屏障最大为100%生命上限）,它所到之处皆是丰收，但代价呢？总之不是收获者来付出。,,,,,是,,rogue_6_relic_fight_13,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_125.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_14.png,热辣可可,IS7,沉沦者的黑流树海,126,SUPER_RARE,,干员生命值越低，攻击力越高，30%生命值时达到最大可提升攻击力（+150%）,辣椒和可可结合的饮品，单听原料想象不出结合出来的口感，但在多索雷斯的游客当中很受欢迎。,,,,,是,,rogue_6_relic_fight_14,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_126.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_15.png,止痛片,IS7,沉沦者的黑流树海,127,RARE,,干员生命值越低，技力恢复速度越快，30%生命值时达到最大恢复速度（+2/s）,这种止痛片广受哥伦比亚人好评，获取其原材料却极其凶险，而负责采摘的玻利瓦尔人通常没有机会使用它。,,,,,是,,rogue_6_relic_fight_15,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_127.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_16.png,窜天源石虫,IS7,沉沦者的黑流树海,128,NORMAL,,干员起飞时，对攻击范围内所有敌人造成相当于自身攻击力400%的物理伤害,要问什么东西是大炎小孩在除夕夜最喜欢的——非点燃后火速升空的源石虫爆竹莫属。,通关结局4次,,,,是,,rogue_6_relic_fight_16,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_128.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_17.png,贴地炸,IS7,沉沦者的黑流树海,129,NORMAL,,干员降落时，对攻击范围内所有敌人造成相当于自身攻击力200%的物理伤害和2秒晕眩,虽然经常会出现哑炮的情况，但被摔在地上的一瞬间，路过的大炎人还是会快步闪开。,通关结局4次,,,,是,,rogue_6_relic_fight_17,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_129.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_18.png,翱翼,IS7,沉沦者的黑流树海,130,NORMAL,,我方每有1个起飞的单位，所有起飞的单位攻击力+25%,从这对完整的羽翼中，仍能窥见它们的所有者曾翱翔于空中称霸的模样，但胜负已定，落败者需付出代价。,,,,,是,,rogue_6_relic_fight_18,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_130.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_19.png,虬蜕,IS7,沉沦者的黑流树海,131,NORMAL,,我方每有1个未起飞的单位，所有单位的防御力+10%,从这张完整的蛇蜕中，仍能窥见它的所有者曾盘踞于地面称霸的模样，但胜负已定，落败者需付出代价。,,,,,是,,rogue_6_relic_fight_19,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_131.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_20.png,天师锦囊,IS7,沉沦者的黑流树海,132,RARE,,首次部署炎国干员时，在其位置召唤一只【炎佑】,遇事不决，可掏出天师赠与的锦囊。锦囊不一定会提供建议，但至少可提供武力支援。,通关结局5次,,,,是,,rogue_6_relic_fight_20,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_132.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_21.png,冰中火,IS7,沉沦者的黑流树海,133,RARE,,敌人受到的元素损伤和元素伤害+75%,火一直在燃烧，冰却一直未融。看起来很热，摸起来却是冷的，正如你在黑流树海中所见的一切。,,,,,是,,rogue_6_relic_fight_21,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_133.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_22.png,河谷祭祈,IS7,沉沦者的黑流树海,134,SUPER_RARE,,我方凋亡、灼燃、神经和侵蚀损伤的爆发效果增强,尘土阖上她的眼睛，溪流为她拭去泪水。,,,,,是,,rogue_6_relic_fight_22,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_134.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_23.png,猎犬病特效药,IS7,沉沦者的黑流树海,135,SUPER_RARE,,我方狂躁元素爆发后不再受到持续伤害，且期间攻击速度额外+50,可以短暂抑制猎犬病症状的特效药，但仅仅是短暂抑制，医疗及研究人员至今无法根除此病。,？？？,,,,是,,rogue_6_relic_fight_23,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_135.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_24.png,特种作战防暴盾,IS7,沉沦者的黑流树海,136,RARE,,被阻挡的敌人造成的伤害-30%,黑钢国际的装备与应用技术部门不遗余力地追求轻量化，希望佣兵作战时手上的负担能小一点，心理上的负担也能小一点......也许吧。,携带不小于3名重装干员完成一场战斗,,,,是,,rogue_6_relic_fight_24,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_136.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_25.png,猎犬咖啡,IS7,沉沦者的黑流树海,137,RARE,,我方单位的生命和攻击力+30%，敌人出现时有3%概率生命+100%,猎犬出没之地的野生咖啡豆总是更加美味，虽然不知道原因，但并不妨碍这些咖啡豆在哥伦比亚被炒出一波又一波高价，至于是否真的是从猎犬的领地摘取的，也并不重要了。,,,,,是,,rogue_6_relic_fight_25,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_137.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_26.png,竞技场贵宾券,IS7,沉沦者的黑流树海,138,SUPER_RARE,,精英敌人的生命+10%，战斗获得的源石锭和指挥经验+40%,只要再加十万马克，您就可以从超超级贵宾升级为超超超级贵宾！,,,,,是,,rogue_6_relic_fight_26,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_138.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_27.png,黄金平原,IS7,沉沦者的黑流树海,139,RARE,,我方干员技能结束时获得2点技力,一望无际的金色麦田、微风、人们的欢声笑语，你的下一瓶精酿何必等待太久？,,,,,是,,rogue_6_relic_fight_27,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_139.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_fight_28.png,第一法则,IS7,沉沦者的黑流树海,140,SUPER_RARE,,我方干员技能结束时获得4点技力,叙拉古出品的红酒只有一种名字——赢家通吃，永远是这里的第一法则。,,,,,是,,rogue_6_relic_fight_28,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B2%89%E6%B2%A6%E8%80%85%E7%9A%84%E9%BB%91%E6%B5%81%E6%A0%91%E6%B5%B7_140.png
